Title,Description,Issued On
“Expoandes” Winner for Systems and Computing Engineering,“Comunicarnos”- Sign Language recognizer built using artificial intelligence through Python and Tensorflow. https://youtu.be/96kEChyVPas,May 2022
“La Muestra” Participant for Systems and Computing Engineering,"“BoGoPlan” – Cultural Events match-maker software built using Maching Learning, https://youtu.be/xXw-wnFHIf4?si=XNpgiQAED-N8k3Sr",Nov 2023
11th place overall - National Physics Olympiads at Universidad Antonio Nariño,11th place overall - National Physics Olympiads at Universidad Antonio Nariño,2019
13th place overall - National Science Olympiads at Universidad Antonio Nariño,13th place overall - National Science Olympiads at Universidad Antonio Nariño,2018
Saint George’s School best participant - National Mathematics Olympiads at Universidad Antonio Nariño,Saint George’s School best participant - National Mathematics Olympiads at Universidad Antonio Nariño,2019
