Date/Time,Media Description,Media Link
"You uploaded a profile background photo on November 7, 2025 at 4:50 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E16AQGZmodcEg36oQ/profile-displaybackgroundimage-shrink_200_800/B4EZpcpx9VKYAU-/0/1762491050556?e=1775088000&v=beta&t=-R-LNOipNkNhVaHbjql5tAEwHwhwpoL8BjEH2g09LzE
"You uploaded a profile background photo on November 7, 2025 at 4:50 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D4E04AQG9UZmVX8OBKQ/profile-background-servable-original-image/B4EZpcpx8THMAI-/0/1762491048482?e=1775088000&v=beta&t=_tsW6B-Ul5vh3evooPA82wkixM3odhXOR-rZry-mtvc
"You uploaded a feed photo on October 8, 2025 at 6:11 PM (GMT)","?? EN 
A few weeks ago, I wrapped up an incredible journey as a Research Intern at Cornell University through the SURF program, working at the intersection of systems engineering, robotics, software, and education.

Huge thanks to David Schneider, Cliff Whitcomb, and Jonathan Jaramillo for their mentorship and inspiration.

At Cornell, I:

- Built XRP robotic features and an educational guide for SYSEN 5920 & 5100,  the first courses recognized by INCOSE as a knowledge exam equivalent.

- Designed a GUI for the AgXRP, an open-source robotics platform for automation and precision agriculture, including its communication protocol and USB-based web control app.

- Helped expand the XRP educational robotics system, now used in 180+ countries with partners like FIRST, Raspberry Pi, SparkFun, Lockheed Martin, NASA, Boeing, and more.

-Our work will be presented at the National Governors Association meeting in Feb 2026 to all 50 U.S. Governors and the U.S. Secretary of Education.

Now, I?m continuing with Cornell on the ISS miniMimic project, which receives real-time telemetry from the International Space Station. The prototype already includes a live 3D model of the ISS with real-time solar panel updates... and we?re just getting started.

This has been one of the most rewarding experiences of my career, and I?m beyond excited for what?s next!

#CornellUniversity #Research #Robotics #Innovation #STEMEducation #SpaceTech

_______

?? ES 
Hace unas semanas finalic? una experiencia incre?ble como Research Intern en la Universidad de Cornell a trav?s del programa SURF, trabajando en la intersecci?n entre ingenier?a de sistemas, rob?tica, software y educaci?n.


Un enorme agradecimiento a los profesores David Schneider, Cliff Whitcomb y Jonathan Jaramillo por su mentor?a e inspiraci?n.

En Cornell:
- Desarroll? nuevas funciones para el robot XRP y una gu?a educativa para SYSEN 5920 y 5100 ? los primeros cursos reconocidos por INCOSE como equivalentes a un examen de conocimientos.

- Dise?? una interfaz gr?fica (GUI) para el AgXRP, plataforma de c?digo abierto para automatizaci?n y agricultura de precisi?n, creando su protocolo de comunicaci?n y app web de control USB.

- Contribu? al sistema educativo XRP, hoy presente en 180+ pa?ses con apoyo de FIRST, Raspberry Pi, NASA, Boeing, entre otros.

- Nuestro trabajo ser? presentado en la Asociaci?n Nacional de Gobernadores (NGA) en febrero de 2026, ante los 50 gobernadores de EE. UU. y el Secretario de Educaci?n.


Actualmente contin?o colaborando en el proyecto ISS miniMimic, una variante del XRP que recibe telemetr?a en tiempo real de la Estaci?n Espacial Internacional. El prototipo ya incluye un modelo 3D en vivo de la ISS con actualizaciones en tiempo real de sus paneles solares.


Una de las experiencias m?s gratificantes de mi carrera? ?emocionado por lo que viene!",https://media.licdn.com/dms/image/v2/D5622AQEgaCLGiTgbFA/feedshare-shrink_800/B56ZnFBPQkJoAk-/0/1759947061640?e=1775088000&v=beta&t=k7hDkyfBM_w7LZiok0fy30Db_H8Iu9O2Dgjgk89Bdag
"You uploaded a document on January 16, 2025 at 1:39 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D562DAQEiTTA8Zu9-0w/profile-treasury-document-cover-images_1920/profile-treasury-document-cover-images_1920/0/1736991594951?e=1774368000&v=beta&t=sLrwAitrdJ7fuwCCZko-XSUFTWKFZ5w2MhzYnUnQPJg
"You uploaded a document on January 15, 2025 at 4:56 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D562DAQGIfXY1T2m7pQ/profile-treasury-document-cover-images_1920/profile-treasury-document-cover-images_1920/0/1736960174334?e=1774368000&v=beta&t=4AcKnWnebVVqDahiuEVoiD49TmeEMUJwWhgaZgDUjBQ
"You uploaded a document on January 15, 2025 at 4:46 PM (GMT)", -,https://media.licdn.com/dms/image/v2/D562DAQEcqBSq-kurWw/profile-treasury-document-cover-images_1920/profile-treasury-document-cover-images_1920/0/1736959587835?e=1774368000&v=beta&t=zUb8ybNtK1OADokFpeo8-UZcdsAXuXu7UXJgkblSiNU
"You uploaded a profile photo on October 23, 2024 at 12:56 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5603AQEb55cC8ermNQ/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1729644964471?e=1775088000&v=beta&t=rNjKXN8NXcWungkzDYIbCHU6GPLehJ7YFj3Jw5o2tuM
"You uploaded a profile photo on October 23, 2024 at 12:56 AM (GMT)", -,https://media.licdn.com/dms/image/v2/D5604AQFERwlhsKMwRA/profile-originalphoto-shrink_900_1200/profile-originalphoto-shrink_900_1200/0/1729644964800?e=1775088000&v=beta&t=8v380nL25fsl4AGIdPTfmG4XnhaK3_8N40bGJFNPhJ8
